CoverageChangePercent,CoveredLinesChange,TotalLinesChange
0.2583372475340573,22,0
-0.46667057658859035,-262,-297
0.0,0,0
-0.051049736020919445,-32,-45
0.0173900081981454,7,0
0.0,0,0
0.007206341580590081,3,0
0.7207962476005414,313,46
0.0,0,0
-0.3082837823898288,-156,-46
0.0,0,0
0.021334091878823236,3,0
0.6898023040819226,97,0
0.8742625630819539,123,0
0.0,0,0
0.0,0,0
0.03834621066295396,6,6
0.024162371134020533,3,0
0.0,0,0
0.02416626389560167,3,0
0.04026413271058238,5,0
0.0,0,0
0.0,0,0
0.0,0,0
-0.04222718224045352,-14,0
0.0032384468408974687,2,0
-0.0016192234204459588,-1,0
0.0,0,0
0.0,0,0
0.0,0,0
0.098390209241761,17,6
-0.098390209241761,-17,-6
-0.007509762691498834,-2,0
0.0,0,0
0.0,0,0
0.0,0,0
-0.015197327783261771,-18,-41
0.514620044542613,782,1878
1.0023117702287032,-819,-2051
1.0023117702287032,-819,-2051
0.07335150004671442,12,10
-0.27373422136557357,3,92
-0.27373422136557357,3,92
0.7242509720210399,95,0
0.6990350277334578,92,0
0.0,0,0
0.0,0,0
-16.048381149052286,-2176,0
-0.17700420384983984,-24,0
0.005506001541680239,2,0
-0.11562603237528779,-42,0
6.761369893183569,2456,0
0.022254367419607957,8,0
0.02771311384547337,10,0
0.01662832913006118,6,0
-0.19458748094305645,-75,118
-0.19458748094305645,-75,118
-0.19458748094305645,-75,118
0.0,0,0
0.0,0,0
-0.0008778475353077297,-4,4
0.0005953042401543596,3,0
0.1214420649913478,612,0
0.1214420649913478,612,0
0.05615703332116362,283,0
0.008050459826346168,43,2
0.008050459826346168,43,2
-0.00011134652623118191,10,96
0.025210242131205873,134,0
0.014790573500561566,81,21
0.02050155454447894,109,0
-0.007711013772623843,-41,0
-0.007711013772623843,-41,0
0.019180503582240382,102,0
-0.008085640091234914,-43,0
0.005828899632812079,189,1398
0.005828899632812079,189,1398
0.004124855630052715,22,0
0.004124855630052715,22,0
-0.020249291274805625,-108,0
-0.15456617229455683,-215,0
0.027819124536571094,39,1
0.06464077683849268,90,0
0.06464077683849268,90,0
1.5429256239151812,88,73
-3.852647016828084,-2022,-22
0.22852610108030635,121,0
0.8159521473978026,392,-160
0.04128108982077161,24,0
0.0,0,0
-0.11536532352449391,-138,0
0.02630951500053602,32,0
0.0,0,0
0.0,0,0
12.618147448015126,267,0
-5.17110088372621,14,148
0.0,0,0
0.0,0,0
0.07367839381101637,12,0
0.04297906305642529,7,0
0.0,0,0
-2.3910056910788846,-384,8
0.0,0,0
0.0,0,0
0.0,0,0
-0.16759776536312554,-24,0
11.590328873887543,2535,50
11.590328873887543,2535,50
0.0,0,0
0.0,0,0
-0.03786802991574412,-8,0
0.0,0,0
-1.8091536096207617,-355,-36
-1.8091536096207617,-355,-36
-0.11020729467331458,-21,0
0.0,0,0
0.22222612874538972,52,36
0.2632964718272679,10,0
0.0,0,0
0.0,0,0
0.43101013605810756,56,114
0.0,0,0
-25.1064552116297,-17577,3
-0.15811999026513895,-68,1204
-0.15811999026513895,-68,1204
-0.009703791756629498,-12,0
0.2423859636904807,254,-282
-0.01057699892267061,-17,-24
-0.0384671812323073,-215,0
0.6482141925395424,3634,47
0.6482141925395424,3634,47
0.1833422979258731,1026,0
0.1833422979258731,1026,0
0.1833422979258731,1026,0
0.7293614771472584,4104,102
0.006761962891058126,38,0
0.006761962891058126,38,0
-16.394633069010727,-80202,-1156
-0.14748463450899307,-245,0
0.2956955914778514,502,1
-0.019919692188336002,-57,0
0.00839404838655633,11,-13
-0.0015212909378947703,6,20
0.001975679386750917,4,0
0.029736963045068343,11,0
0.03923107100823886,6,0
-0.01634073839184569,-16,-29
-0.01634073839184569,-16,-29
0.009708531263180609,15,29
0.06297625795075312,10,0
0.0,0,0
