Iteration,Total_Projects,Detected_Projects_Count
530,784,12
531,784,15
532,784,12
533,784,22
534,784,19
535,784,18
536,784,24
537,784,16
538,783,22
539,782,25
540,782,13
541,781,13
542,781,20
543,780,17
544,780,16
545,780,21
546,779,21
547,779,16
548,779,21
549,779,17
550,779,15
551,779,14
552,778,18
553,777,12
554,777,12
555,777,16
556,777,14
557,777,14
558,777,12
559,775,5
560,775,17
561,774,11
562,772,14
563,771,16
564,769,12
565,769,14
566,769,12
567,769,17
568,768,20
569,766,10
570,765,13
571,765,11
572,765,13
573,765,18
574,765,14
575,765,15
576,765,11
577,764,10
578,764,18
579,764,13
580,764,8
581,763,8
582,763,14
583,763,19
584,763,14
585,763,15
586,763,12
587,763,16
588,762,11
589,762,14
590,762,19
591,762,12
592,761,8
593,761,20
594,761,15
595,761,10
596,760,8
597,759,11
598,758,13
599,757,19
600,753,10
601,752,15
602,750,16
603,749,12
604,745,17
605,740,13
606,740,17
607,738,17
608,735,18
609,733,13
610,733,14
611,731,16
612,729,10
613,728,15
614,727,13
615,727,17
616,727,12
617,726,21
618,725,17
619,724,18
620,723,16
621,721,11
622,719,13
623,716,13
624,715,15
625,714,18
626,712,14
627,711,15
628,711,17
629,708,12
630,707,20
631,706,19
632,706,12
633,705,19
634,704,18
635,703,16
636,703,14
637,702,16
638,701,11
639,700,17
640,699,22
641,698,19
642,698,21
643,697,13
644,697,12
645,697,16
646,694,14
647,693,16
648,692,14
649,692,13
650,691,14
651,689,18
652,689,15
653,688,17
654,687,16
655,684,15
656,682,11
657,681,15
658,681,14
659,680,7
660,679,15
661,678,15
662,678,22
663,674,17
664,672,19
665,671,17
666,670,25
667,667,13
668,666,17
669,663,15
670,663,18
671,662,16
672,658,16
673,656,17
674,655,16
675,655,12
676,655,17
677,654,18
678,653,12
679,651,17
680,649,14
681,648,14
682,648,18
683,647,14
684,645,16
685,645,14
686,644,16
687,644,14
688,641,15
689,639,14
690,639,15
691,638,13
692,637,17
693,633,14
694,631,14
695,628,19
696,626,9
697,623,9
698,620,17
699,620,18
700,619,15
701,619,13
702,619,18
703,619,15
704,618,17
705,617,13
706,617,11
707,617,13
708,616,22
709,615,9
710,614,13
711,614,20
712,613,11
713,611,21
714,607,12
715,607,11
716,607,17
717,606,14
718,604,13
719,604,9
720,604,14
721,603,15
722,603,12
723,602,12
724,601,12
725,599,11
726,599,21
727,598,15
728,597,18
729,596,21
730,595,17
731,594,15
732,593,16
733,592,9
734,591,15
735,588,6
736,587,7
737,587,14
738,586,9
739,584,13
740,584,12
741,584,19
742,583,10
743,583,18
744,581,13
745,581,8
746,581,10
747,580,14
748,580,12
749,580,12
750,579,10
751,578,20
752,577,13
753,577,12
754,577,9
755,576,7
756,576,13
757,575,17
758,575,11
759,575,17
760,575,15
761,574,16
762,574,10
763,574,15
764,573,12
765,572,11
766,571,16
767,571,17
768,571,20
769,571,13
770,568,12
771,568,12
772,568,18
773,568,9
774,568,9
775,568,13
776,567,15
777,567,13
778,567,11
779,567,12
780,567,11
781,567,10
782,565,10
783,562,15
784,560,14
785,560,14
786,560,15
787,559,15
788,557,17
789,556,10
790,555,15
791,555,13
792,554,11
793,553,13
794,553,13
795,552,12
796,551,15
797,551,7
798,551,11
799,550,17
800,549,16
801,549,20
802,549,22
803,549,11
804,548,12
805,548,10
806,548,19
807,548,12
808,547,15
809,547,17
810,546,17
811,545,10
812,545,15
813,543,16
814,543,13
815,543,15
816,542,20
817,542,11
818,540,8
819,540,11
820,540,6
821,540,12
822,540,15
823,538,17
824,537,10
825,536,10
826,533,10
827,532,10
828,531,12
829,531,18
830,530,12
831,528,13
832,528,12
833,528,12
834,526,12
835,526,8
836,526,10
837,524,15
838,523,13
839,522,13
840,521,17
841,521,10
842,521,12
843,521,12
844,520,12
845,520,11
846,520,13
847,519,13
848,518,11
849,515,15
850,514,13
851,514,18
852,513,9
853,511,12
854,511,11
855,510,14
856,510,11
857,508,10
858,508,14
859,508,9
860,507,11
861,506,8
862,505,15
863,504,13
864,502,17
865,500,12
866,499,10
867,498,17
868,497,7
869,496,13
870,496,10
871,496,6
872,495,9
873,494,12
874,494,10
875,494,10
876,493,19
877,493,14
878,492,14
879,490,15
880,488,13
881,488,16
882,486,15
883,484,15
884,482,17
885,482,12
886,482,11
887,482,18
888,480,14
889,480,14
890,480,9
891,479,7
892,478,7
893,478,11
894,475,16
895,474,18
896,473,14
897,472,10
898,472,12
899,470,15
900,469,11
901,468,11
902,468,9
903,468,12
904,468,10
905,467,18
906,467,14
907,464,9
908,464,13
909,463,13
910,463,7
911,462,18
912,462,13
913,461,13
914,461,13
915,461,14
916,460,18
917,460,12
918,459,15
919,459,19
920,459,15
921,458,10
922,458,16
923,458,21
924,457,18
925,457,14
926,457,18
927,457,14
928,457,14
929,455,15
930,455,9
931,455,11
932,454,18
933,454,11
934,454,12
935,454,16
936,454,13
937,454,9
938,453,16
939,453,14
940,451,9
941,451,16
942,451,16
943,451,15
944,451,13
945,451,16
946,451,19
947,451,22
948,451,17
949,450,16
950,450,15
951,449,12
952,446,12
953,445,10
954,445,9
955,445,14
956,445,10
957,444,14
958,444,8
959,444,15
960,444,16
961,444,17
962,442,13
963,442,16
964,441,19
965,441,16
966,441,15
967,441,16
968,440,16
969,440,12
970,440,13
971,438,10
972,437,10
973,437,12
974,436,12
975,436,6
976,435,10
977,434,9
978,433,10
979,433,9
980,433,19
981,433,8
982,432,14
983,432,9
984,431,13
985,428,14
986,427,14
987,426,13
988,426,7
989,426,10
990,426,10
991,426,12
992,425,12
993,425,11
994,425,16
995,425,14
996,425,15
997,425,9
998,425,10
999,425,10
1000,425,7
1001,425,13
1002,425,10
1003,425,14
1004,425,16
1005,425,11
1006,425,9
1007,425,7
1008,425,9
1009,425,19
1010,425,15
1011,425,9
1012,425,8
1013,425,18
1014,425,16
1015,424,10
1016,424,10
1017,424,12
1018,424,10
1019,424,14
1020,424,9
1021,424,13
1022,424,13
1023,424,13
1024,424,10
1025,424,14
1026,424,17
1027,424,10
1028,423,19
1029,422,9
1030,422,13
1031,422,17
1032,421,15
1033,421,11
1034,421,14
1035,421,12
1036,421,9
1037,421,17
1038,421,10
1039,421,12
1040,421,14
1041,421,13
1042,420,13
1043,420,14
1044,419,17
1045,419,14
1046,419,17
1047,419,14
1048,419,11
1049,419,9
1050,419,9
1051,419,5
1052,419,10
1053,419,12
1054,418,8
1055,418,13
1056,418,15
1057,418,11
1058,418,12
1059,418,10
1060,418,10
1061,418,6
1062,418,10
1063,418,7
1064,417,7
1065,416,13
1066,416,14
1067,416,12
1068,416,8
1069,415,7
1070,415,6
1071,415,7
1072,415,9
1073,415,9
1074,415,18
1075,414,11
1076,414,10
1077,414,18
1078,414,8
1079,414,6
1080,414,12
1081,414,8
1082,414,12
1083,414,5
1084,414,9
1085,414,13
1086,414,9
1087,414,13
1088,414,9
1089,414,11
1090,414,10
1091,414,7
1092,414,20
1093,414,15
1094,414,15
1095,414,13
1096,414,7
1097,414,7
1098,414,16
1099,414,8
1100,414,9
1101,414,10
1102,414,10
1103,414,7
1104,414,14
1105,413,7
1106,413,9
1107,413,17
1108,413,7
1109,413,9
1110,413,12
1111,413,6
1112,411,8
1113,411,6
1114,411,11
1115,411,10
1116,411,11
1117,411,5
1118,411,7
1119,411,11
1120,411,12
1121,410,11
1122,410,6
1123,410,12
1124,410,18
1125,410,13
1126,409,7
1127,408,7
1128,408,11
1129,407,12
1130,407,7
1131,407,8
1132,407,14
1133,407,8
1134,407,12
1135,407,9
1136,406,10
1137,406,10
1138,405,9
1139,405,10
1140,405,11
1141,404,9
1142,404,13
1143,404,12
1144,404,9
1145,403,14
1146,402,12
1147,401,13
1148,401,11
1149,401,11
1150,401,13
1151,401,8
1152,401,7
1153,401,7
1154,401,11
1155,401,16
1156,400,12
1157,399,9
1158,399,10
1159,399,10
1160,399,10
1161,399,10
1162,397,14
1163,397,5
1164,397,10
1165,397,9
1166,396,11
1167,396,2
1168,396,8
1169,395,9
1170,394,8
1171,394,13
1172,393,9
1173,393,11
1174,393,9
1175,393,12
1176,393,8
1177,393,11
1178,392,10
1179,391,11
1180,390,9
1181,389,10
1182,389,9
1183,389,15
1184,389,12
1185,389,11
1186,389,7
1187,389,8
1188,389,20
1189,389,12
1190,389,11
1191,389,10
1192,389,9
1193,389,8
1194,389,12
1195,388,11
1196,388,8
1197,388,8
1198,387,9
1199,387,11
1200,386,13
1201,386,8
1202,386,10
1203,386,12
1204,386,14
1205,386,10
1206,386,8
1207,385,14
1208,383,9
1209,382,10
1210,382,8
1211,382,14
1212,382,7
1213,382,9
1214,382,9
1215,382,7
1216,382,13
1217,382,4
1218,382,9
1219,382,14
1220,382,7
1221,382,9
1222,382,7
1223,382,6
1224,382,12
1225,382,3
1226,382,6
1227,382,8
1228,382,7
1229,382,10
1230,382,7
1231,382,9
1232,382,5
1233,381,7
1234,381,9
1235,381,8
1236,381,10
1237,380,12
1238,380,13
1239,379,4
1240,379,11
1241,379,10
1242,379,12
1243,379,7
1244,379,2
1245,379,11
1246,378,10
1247,378,5
1248,378,11
1249,378,11
1250,378,9
1251,378,9
1252,378,15
1253,378,11
1254,378,9
1255,378,11
1256,378,13
1257,377,4
1258,377,5
1259,377,12
1260,377,10
1261,377,8
1262,377,8
1263,376,13
1264,376,11
1265,376,4
1266,376,7
1267,376,6
1268,376,5
1269,376,6
1270,376,7
1271,375,9
1272,375,9
1273,375,10
1274,375,6
1275,374,12
1276,374,7
1277,373,9
1278,373,5
1279,373,6
1280,373,4
1281,373,9
1282,373,7
1283,373,16
1284,373,12
1285,373,5
1286,373,8
1287,373,11
1288,373,8
1289,373,11
1290,372,9
1291,372,12
1292,372,6
1293,372,6
1294,372,9
1295,370,7
1296,370,12
1297,368,7
1298,368,13
1299,367,6
1300,367,9
1301,367,8
1302,367,8
1303,366,9
1304,366,7
1305,366,9
1306,366,9
1307,366,6
1308,365,8
1309,364,8
1310,362,3
1311,361,9
1312,361,8
1313,361,6
1314,361,13
1315,361,9
1316,361,6
1317,361,9
1318,361,9
1319,361,8
1320,360,8
1321,360,4
1322,360,9
1323,360,4
1324,360,4
1325,357,7
1326,356,10
1327,355,6
1328,355,7
1329,355,7
1330,355,5
1331,354,7
1332,354,6
1333,353,5
1334,353,9
1335,353,5
1336,353,10
1337,353,9
1338,353,11
1339,352,10
1340,352,8
1341,352,4
1342,352,2
1343,351,7
1344,350,7
1345,349,11
1346,347,10
1347,346,4
1348,345,2
1349,345,9
1350,345,7
1351,344,8
1352,343,10
1353,343,8
1354,343,6
1355,343,6
1356,343,5
1357,343,7
1358,343,5
1359,343,9
1360,343,9
1361,342,7
1362,339,7
1363,339,7
1364,339,6
1365,338,6
1366,337,5
1367,337,6
1368,337,1
1369,337,3
1370,337,6
1371,337,7
1372,337,8
1373,337,5
1374,336,8
1375,336,9
1376,335,7
1377,335,11
1378,335,6
1379,335,4
1380,333,6
1381,333,5
1382,333,6
1383,333,6
1384,333,5
1385,333,7
1386,331,5
1387,331,3
1388,331,6
1389,331,7
1390,331,3
1391,330,8
1392,329,4
1393,329,4
1394,329,6
1395,329,13
1396,329,3
1397,329,6
1398,329,6
1399,329,6
1400,329,12
1401,329,7
1402,329,7
1403,329,3
1404,329,9
1405,328,6
1406,327,6
1407,327,4
1408,327,8
1409,326,5
1410,325,7
1411,325,4
1412,324,4
1413,324,7
1414,324,10
1415,324,10
1416,323,11
1417,322,5
1418,318,10
1419,316,7
1420,315,3
1421,315,7
1422,315,12
1423,315,4
1424,314,2
1425,314,6
1426,314,6
1427,313,7
1428,313,6
1429,312,9
1430,312,5
1431,312,5
1432,311,5
1433,311,5
1434,311,3
1435,309,7
1436,308,5
1437,307,6
1438,307,6
1439,307,6
1440,307,4
1441,307,5
1442,307,7
1443,307,4
1444,306,5
1445,306,6
1446,306,8
1447,305,9
1448,305,7
1449,303,7
1450,303,5
1451,301,10
1452,301,6
1453,301,8
1454,301,7
1455,301,7
1456,301,6
1457,301,3
1458,301,4
1459,301,5
1460,300,1
1461,300,4
1462,300,5
1463,300,8
1464,299,11
1465,299,7
1466,299,8
1467,298,5
1468,297,7
1469,297,6
1470,296,11
1471,296,2
1472,296,6
1473,296,5
1474,296,6
1475,296,2
1476,295,3
1477,294,3
1478,294,5
1479,293,9
1480,293,3
1481,293,2
1482,293,4
1483,293,8
1484,293,6
1485,293,6
1486,293,5
1487,293,6
1488,292,4
1489,292,10
1490,292,4
1491,292,3
1492,291,5
1493,291,6
1494,291,3
1495,291,7
1496,291,5
1497,291,8
1498,291,6
1499,291,6
1500,291,5
1501,291,5
1502,291,6
1503,291,10
1504,290,5
1505,290,5
1506,290,6
1507,290,5
1508,290,5
1509,289,6
1510,288,6
1511,288,4
1512,288,4
1513,287,9
1514,287,5
1515,287,6
1516,287,4
1517,287,7
1518,286,9
1519,286,8
1520,285,8
1521,284,5
1522,284,4
1523,283,5
1524,283,6
1525,283,10
1526,282,4
1527,282,5
1528,281,3
1529,281,7
1530,281,6
1531,281,8
1532,280,3
1533,280,7
1534,280,5
1535,280,7
1536,280,7
1537,280,5
1538,280,7
1539,279,9
1540,279,12
1541,279,5
1542,278,5
1543,277,7
1544,277,1
1545,277,5
1546,277,3
1547,277,5
1548,277,5
1549,277,6
1550,277,5
1551,277,7
1552,277,6
1553,277,10
1554,277,4
1555,277,7
1556,277,7
1557,276,6
1558,276,6
1559,276,4
1560,276,4
1561,276,4
1562,276,4
1563,276,10
1564,276,4
1565,276,4
1566,276,7
1567,276,7
1568,276,7
1569,276,4
1570,276,7
1571,276,6
1572,276,3
1573,275,3
1574,275,9
1575,275,6
1576,274,7
1577,274,5
1578,274,9
1579,273,4
1580,273,4
1581,273,4
1582,273,5
1583,273,5
1584,273,6
1585,272,4
1586,272,4
1587,272,3
1588,272,10
1589,272,8
1590,272,6
1591,271,1
1592,271,7
1593,271,7
1594,270,7
1595,269,7
1596,269,6
1597,269,7
1598,269,5
1599,268,6
1600,268,8
1601,268,8
1602,268,8
1603,268,5
1604,266,8
1605,266,6
1606,265,5
1607,264,3
1608,264,9
1609,264,3
1610,264,5
1611,263,5
1612,263,4
1613,263,4
1614,263,3
1615,263,7
1616,263,7
1617,263,6
1618,261,10
1619,261,9
1620,261,3
1621,260,7
1622,260,5
1623,260,3
1624,258,5
1625,258,5
1626,258,4
1627,258,9
1628,257,7
1629,257,7
1630,257,9
1631,257,4
1632,257,6
1633,257,6
1634,256,8
1635,256,3
1636,256,9
1637,256,6
1638,255,2
1639,255,7
1640,255,2
1641,255,7
1642,255,7
1643,255,2
1644,254,8
1645,254,0
1646,254,2
1647,254,5
1648,254,7
1649,254,4
1650,254,10
1651,254,6
1652,254,5
1653,252,2
1654,252,5
1655,251,7
1656,251,4
1657,251,4
1658,251,3
1659,251,8
1660,250,6
1661,250,10
1662,249,8
1663,249,7
1664,249,6
1665,248,3
1666,248,7
1667,248,7
1668,248,5
1669,248,11
1670,247,5
1671,247,6
1672,247,6
1673,246,4
1674,246,6
1675,246,5
1676,245,3
1677,243,6
1678,243,5
1679,242,9
1680,242,5
1681,241,5
1682,241,4
1683,241,5
1684,241,8
1685,241,5
1686,239,5
1687,239,1
1688,238,3
1689,236,6
1690,236,7
1691,236,4
1692,236,2
1693,236,9
1694,236,3
1695,235,2
1696,235,3
1697,235,4
1698,235,4
1699,235,7
1700,234,4
1701,234,4
1702,234,4
1703,234,2
1704,234,2
1705,234,3
1706,234,4
1707,234,3
1708,234,2
1709,234,4
1710,234,2
1711,234,6
1712,234,7
1713,233,5
1714,232,6
1715,232,4
1716,232,1
1717,232,5
1718,232,5
1719,232,5
1720,232,4
1721,232,7
1722,231,3
1723,231,1
1724,231,3
1725,231,4
1726,231,3
1727,231,2
1728,230,1
1729,230,3
1730,230,3
1731,230,5
1732,229,7
1733,229,6
1734,229,3
1735,229,3
1736,229,7
1737,229,3
1738,229,3
1739,229,3
1740,229,5
1741,229,6
1742,228,1
1743,228,1
1744,228,4
1745,228,4
1746,228,5
1747,228,4
1748,228,3
1749,228,2
1750,228,4
1751,228,1
1752,228,2
1753,228,1
1754,228,5
1755,227,5
1756,227,6
1757,225,2
1758,225,5
1759,225,1
1760,225,8
1761,224,6
1762,224,5
1763,224,4
1764,224,4
1765,224,7
1766,223,6
1767,223,2
1768,223,4
1769,223,3
1770,222,5
1771,222,3
1772,222,5
1773,222,4
1774,221,2
1775,220,3
1776,220,6
1777,219,0
1778,219,2
1779,219,3
1780,219,3
1781,218,3
1782,218,3
1783,218,6
1784,218,4
1785,218,0
1786,218,2
1787,218,5
1788,217,4
1789,217,2
1790,217,7
1791,217,3
1792,217,4
1793,217,2
1794,217,4
1795,217,3
1796,217,3
1797,217,3
1798,217,8
1799,215,4
1800,214,3
1801,214,3
1802,213,3
1803,213,4
1804,213,2
1805,213,5
1806,213,3
1807,213,3
1808,212,1
1809,212,2
1810,212,4
1811,212,7
1812,212,1
1813,212,1
1814,211,3
1815,211,5
1816,211,3
1817,211,3
1818,211,7
1819,211,6
1820,209,2
1821,209,5
1822,209,4
1823,209,3
1824,209,5
1825,209,2
1826,209,3
1827,209,2
1828,208,6
1829,208,6
1830,208,3
1831,208,3
1832,207,2
1833,207,4
1834,207,3
1835,206,4
1836,206,3
1837,206,4
1838,206,5
1839,206,3
1840,206,0
1841,206,3
1842,206,3
1843,206,1
1844,206,1
1845,206,4
1846,205,2
1847,205,2
1848,205,3
1849,205,2
1850,205,3
1851,204,4
1852,204,3
1853,204,2
1854,204,1
1855,204,3
1856,204,2
1857,203,1
1858,203,3
1859,203,0
1860,203,3
1861,203,5
1862,203,2
1863,203,1
1864,203,4
1865,203,4
1866,203,5
1867,203,1
1868,203,1
1869,202,6
1870,202,5
1871,202,3
1872,202,2
1873,202,3
1874,202,4
1875,202,1
1876,202,1
1877,202,1
1878,200,1
1879,200,6
1880,200,2
1881,199,3
1882,198,5
1883,198,6
1884,197,8
1885,197,2
1886,197,2
1887,197,5
1888,197,1
1889,196,2
1890,196,0
1891,195,1
1892,195,6
1893,193,1
1894,193,2
1895,192,1
1896,192,3
1897,192,2
1898,191,4
1899,190,6
1900,190,5
1901,190,5
1902,190,1
1903,190,2
1904,190,3
1905,190,6
1906,190,4
1907,190,4
1908,189,5
1909,189,5
1910,189,4
1911,188,3
1912,188,5
1913,188,4
1914,188,5
1915,188,5
1916,188,2
1917,188,4
1918,188,6
1919,188,2
1920,187,2
1921,187,4
1922,187,3
1923,187,3
1924,187,5
1925,187,2
1926,187,1
1927,187,6
1928,187,2
1929,187,2
1930,187,1
1931,187,2
1932,187,5
1933,187,3
1934,187,1
1935,187,4
1936,187,3
1937,187,1
1938,187,1
1939,186,3
1940,184,3
1941,184,2
1942,183,5
1943,182,5
1944,182,7
1945,182,6
1946,181,4
1947,181,2
1948,181,5
1949,181,3
1950,181,4
1951,181,3
1952,181,5
1953,180,3
1954,180,2
1955,180,1
1956,180,3
1957,180,2
1958,180,3
1959,179,3
1960,179,3
1961,179,1
1962,178,2
1963,178,1
1964,178,6
1965,178,2
1966,177,3
1967,177,5
1968,177,5
1969,177,6
1970,176,2
1971,176,2
1972,176,6
1973,176,2
1974,176,3
1975,175,2
1976,175,6
1977,174,3
1978,174,2
1979,174,8
1980,174,3
1981,174,2
1982,174,5
1983,172,3
1984,172,4
1985,171,4
1986,171,5
1987,169,3
1988,169,4
1989,169,3
1990,169,3
1991,169,2
1992,169,4
1993,169,1
1994,169,5
1995,168,1
1996,168,1
1997,168,0
1998,168,3
1999,168,2
2000,167,0
2001,167,3
2002,167,1
2003,166,2
2004,165,2
2005,165,5
2006,165,3
2007,165,4
2008,164,3
2009,163,0
2010,163,4
2011,163,1
2012,162,5
2013,161,0
2014,161,6
